[ 2024-02-02 21:43:11,253] 159 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2024-02-02 21:43:12,499] 25 root - INFO - Entered the data ingestion method or component
[ 2024-02-02 21:43:12,503] 28 root - INFO - Data is read 
[ 2024-02-02 21:43:12,508] 33 root - INFO - Train test split intiated
[ 2024-02-02 21:43:12,514] 38 root - INFO - Ingestion of the data is completed
[ 2024-02-02 21:43:12,518] 65 root - INFO - Read train and test data completed
[ 2024-02-02 21:43:12,518] 66 root - INFO - Obtaining preprocessing object
[ 2024-02-02 21:43:12,518] 37 root - INFO - numerical columns encoding completed
[ 2024-02-02 21:43:12,518] 47 root - INFO - categorical columns encoding completed
[ 2024-02-02 21:43:12,519] 79 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2024-02-02 21:43:12,534] 91 root - INFO - Saved preprocessing object.
[ 2024-02-02 21:43:12,537] 31 root - INFO - Spliting training and test input data
[ 2024-02-02 21:43:48,986] 86 root - INFO - Best model found on both training and testing dataset
