[ 2024-02-10 16:47:02,963] 225 werkzeug - WARNING -  * Debugger is active!
[ 2024-02-10 16:47:03,001] 225 werkzeug - INFO -  * Debugger PIN: 121-334-969
[ 2024-02-10 16:47:07,290] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:07] "[35m[1mPOST /predictdata HTTP/1.1[0m" 500 -
[ 2024-02-10 16:47:07,313] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:07] "GET /predictdata?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[ 2024-02-10 16:47:07,314] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:07] "GET /predictdata?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[ 2024-02-10 16:47:07,328] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:07] "GET /predictdata?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[ 2024-02-10 16:47:07,334] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:07] "GET /predictdata?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
[ 2024-02-10 16:47:07,339] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:07] "GET /predictdata?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[ 2024-02-10 16:47:12,030] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:12] "GET / HTTP/1.1" 200 -
[ 2024-02-10 16:47:17,040] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:17] "GET /predictdata HTTP/1.1" 200 -
[ 2024-02-10 16:47:32,424] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:32] "[35m[1mPOST /predictdata HTTP/1.1[0m" 500 -
[ 2024-02-10 16:47:32,435] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:32] "GET /predictdata?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[ 2024-02-10 16:47:32,436] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:32] "GET /predictdata?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[ 2024-02-10 16:47:32,451] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:32] "GET /predictdata?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[ 2024-02-10 16:47:32,458] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:32] "GET /predictdata?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
[ 2024-02-10 16:47:32,465] 225 werkzeug - INFO - 127.0.0.1 - - [10/Feb/2024 16:47:32] "GET /predictdata?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
